cityeng,stations,length,avgfootfall,line,indensity,city
Shanghai,508,831,30496.8,20,1.22 ,上海
Beijing,480,807,29083.3,27,1.20 ,北京
Guangzhou,303,694.1,25449.3,16,1.22 ,广州
Shenzhen,369,547.38,21879.1,15,1.33 ,深圳
Chengdu,333,518.5,17711.9,12,1.14 ,成都
Hangzhou,254,516.2,11090.1,12,0.72 ,杭州
Nanjing,223,508,8333,13,0.55 ,南京
Chongqing,279,484.97,11289.7,10,0.78 ,重庆
Wuhan,291,460,11533.3,11,0.84 ,武汉
Qingdao,147,311.1,4093.7,7,0.44 ,青岛
Xi'an,192,300,10779.5,9,1.20 ,西安
Tianjin,206,286,4754.3,9,0.55 ,天津
Suzhou,154,252.1,4194.6,6,0.55 ,苏州
Dalian,107,237.74,2146.4,6,0.30 ,大连
Zhengzhou,143,232.5,4879,8,0.70 ,郑州
Changsha,157,226,7969.6,7,1.18 ,长沙
Hong Kong,99,209,12976.1,10,2.07 ,香港
Kunming,103,184,2397.3,6,0.43 ,昆明
Ningbo,127,182.5,3108.8,5,0.57 ,宁波
Hefei,136,176.15,2195.3,5,0.42 ,合肥
Taipei,131,152,6172,9,1.35 ,台北
Nanchang,94,128.45,3134.1,4,0.81 ,南昌
Nanning,104,128.2,2853.6,5,0.74 ,南宁
Jinhua,32,118.5,408,2,0.11 ,金华
Shenyang,85,116.51,4065.2,4,1.16 ,沈阳
Wuxi,87,114.8,1424.2,4,0.41 ,无锡
Fuzhou,78,114,1537.1,4,0.45 ,福州
Foshan,64,112.6,1225.9,3,0.36 ,佛山
Changchun,100,111.2,1945.8,5,0.58 ,长春
Xiamen,70,98.4,2032.8,3,0.69 ,厦门
Jinan,42,84.25,829.5,3,0.33 ,济南
Harbin,62,79.4,2391.4,3,1.00 ,哈尔滨
Shijiazhuang,63,76.5,1395.2,3,0.61 ,石家庄
Guiyang,57,75.7,1102.3,2,0.49 ,贵阳
Xuzhou,54,64.35,758.4,3,0.39 ,徐州
Kaohsiung,69,59.8,360,3,0.20 ,高雄
Shaoxing,36,57.65,279.4,2,0.16 ,绍兴
Changzhou,44,54.03,668.7,2,0.41 ,常州
Wenzhou,18,53.507,69.9,1,0.04 ,温州
Taoyuan,22,53.1,141,1,0.09 ,桃园
Taizhou,15,52.4,166.5,1,0.11 ,台州
Hohhot,44,49,567.2,2,0.39 ,呼和浩特
Wuhu,36,46.2,268.9,2,0.19 ,芜湖
Luoyang,34,43.554,428.7,2,0.33 ,洛阳
Nantong,28,39.182,165.7,1,0.14 ,南通
Dongguan,15,37.7,366.3,1,0.32 ,东莞
Lanzhou,29,35,759.7,2,0.72 ,兰州
Ürümqi,21,27.615,331.7,1,0.40 ,乌鲁木齐
Taiyuan,23,23.647,367.7,1,0.52 ,太原
Taichung,18,16.71,75,1,0.15 ,台中
